"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1621","yellow","GO:0001503","ossification","20/119","388/17913",1.09876903559289e-12,4.69449070457064e-10,3.87749809665808e-10,"54829/1009/1278/1290/1291/1311/115908/1513/22801/4015/4313/4330/9902/4958/5587/6423/6678/7043/338773/1462",20
"1622","yellow","GO:0031589","cell-substrate adhesion","17/119","322/17913",4.36281400488804e-11,1.49120982687073e-08,1.23169128011681e-08,"81792/84168/50509/1295/10085/11117/2192/22801/83700/4811/22795/10630/5328/10631/25992/6695/7070",17
"1623","yellow","GO:0032963","collagen metabolic process","11/119","102/17913",7.44925484299246e-11,2.12179608777902e-08,1.75253521832507e-08,"9509/1278/1289/1513/11117/2191/4313/9902/5159/57333/7043",11
"1624","yellow","GO:0071559","response to transforming growth factor beta","14/119","239/17913",6.61606424945283e-10,1.61526482890213e-07,1.33415671556635e-07,"54829/1278/27122/11117/2200/5654/4015/2615/4053/25878/50507/10631/7041/7043",14
"1625","yellow","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","15/119","323/17913",3.82504236587376e-09,8.09959918016637e-07,6.69000800751631e-07,"54829/1278/1311/27122/11117/2200/11167/5654/4015/2615/4053/6423/6424/7041/7043",15
"1642","yellow","GO:0070208","protein heterotrimerization","4/119","13/17913",1.26396165299919e-06,8.64044185990246e-05,7.13672663861858e-05,"114904/1278/1291/1292",4
"1662","yellow","GO:0044273","sulfur compound catabolic process","5/119","48/17913",1.62048852316977e-05,0.00061542553024381,0.000508321663057466,"633/1634/4060/4958/1462",5
"1675","yellow","GO:0071230","cellular response to amino acid stimulus","5/119","64/17913",6.63012730197764e-05,0.00195360130328962,0.0016136117444559,"1278/1290/1291/4313/5156",5
"1699","yellow","GO:0002576","platelet degranulation","6/119","128/17913",0.000212412281309449,0.00442698278972987,0.00365654517632826,"5099/5919/6678/7043/7078/7424",6
"1702","yellow","GO:0014910","regulation of smooth muscle cell migration","5/119","85/17913",0.00025530976154941,0.00513322802926989,0.00423988099365645,"50507/5159/5328/10631/5592",5
"1703","yellow","GO:0030509","BMP signaling pathway","6/119","134/17913",0.000272201412080671,0.00540921178192869,0.00446783468298874,"1311/2200/11167/5654/6423/6424",6
